"on défie l’ennui du monde à nos grès","it defies the boredom of the world to our sandstone","","","","",""
"on","we","we, you, they","nous, on, vous, tu, on, te, toi, ils, elles, on, eux","on peut, on verra, on y va, comme on dit, on ne peut pas, on sait que, on sait, sur qui on peut compter, Ça fait longtemps qu'on ne s'est pas vu., qu'on doit","Pronom indéfini de la troisième personne du singulier.<br />D’une façon indéfinie au sens de « tout le monde, n’importe qui ».<br />Dans les proverbes au sens de « chacun ».<br />Dans la langue familière ou orale, le pronom on peut aussi remplacer les pronoms personnels :.<br />Pour désigner l’auteur inconnu ou anonyme d’un renseignement.<br />Anglicisme pour marche (Recomm. off.).<br />","On a sonné? À cette question que tu as posée, qu’a-t-on répondu?<br />On n’est jamais si bien servi que par soi-même .<br />On m’a dit que les employés étaient mécontents .<br />"
"défie","challenges","challenge, defy, dare, confront, take on, brave, baffle, affront, pick a quarrel with","contester, défier, récuser, mettre en question, inviter, faire appel, défier, braver, rejeter, oser, défier, avoir l'audace, affronter, confronter, comparer, défier, accepter, se charger de, embaucher, défier, utiliser, prendre une habitude, braver, affronter, défier, dérouter, déconcerter, tromper, défier, échapper à, décevoir, insulter, offenser, défier, chercher querelle, chercher noise à, défier","se défier","Provoquer.<br />Mettre quelqu’un au défi en le croyant incapable de quelque chose.<br />Braver.<br />Être incomparable.<br />Se méfier de.<br />","Il défie Antoine d’aller plus vite .<br />Défier l’autorité .<br />La qualité de nos produits défie toute concurrence .<br />Défier une amie à la course, au tennis et aux échecs .<br />"
"l'ennui","boredom","","","","",""
"du","from","","","dû, pas du tout, emploi du temps, faire du vélo, faire du ski, du matin, du monde, du moins, du jour, gagner du temps, du tout","Déterminant formé par la contraction de la préposition de et du déterminant défini le.<br />",""
"monde","world","world, earth, people, realm, kingdom","monde, univers, globe, siècle, terre, monde, sol, globe terrestre, boue, terrier, personnes, gens, peuple, population, habitants, monde, domaine, royaume, monde, royaume, monde","domaine, planète, humanité, réalité, public, Terre, création, domaine, Terre, planète, terre, domaine, région, royaume, zone, humanité, homme, réalité, public, Terre, création, cosmos, univers, tout le monde, le monde, dans le monde entier, du monde, beaucoup de monde, partout dans le monde, trop de monde, champion du monde, au monde, beau monde","Univers, ensemble des choses créées.<br />La Terre.<br />Société humaine.<br />Milieu.<br />","La fin du monde .<br />Faire le tour du monde .<br />Il y a beaucoup de monde ici .<br />Le monde du cirque, le monde de l’automobile .<br />"
"à","to","to, in, at, with, by, upon","à, de, pour, vers, sur, en, dans, en, à, chez, dedans, au bout de, à, de, sur, en, vers, à propos de, avec, à, de, sur, par, de, selon, à, près de, suivant, sur, à","jusqu'à, à partir de, grâce à, à travers, à part, à cause de, à côté, à propos, par rapport à, à peu près","La préposition introduit un complément indirect.<br />La préposition marque :.<br />La préposition marque le prix.<br />","Alain participera à la fête .<br />Un blouson à 100 $ .<br />"
"nos","our","","","","",""
"grès","sandstone","sandstone, grit","grès, sable, gravier, grès, cran, gravillon, gruau de maïs","","Matière dont on fait des poteries.<br />","Un pot de grès .<br />"
"le soleil s’éteint sur nos destins","the sun disappears from our fates","","","","",""
"le","the","the, it, him","les, la, le, il, elle, le, ce, cela, la, lui, le, celui, l'","tout le monde, le matin, pour le moment, le monde, le mien, dans le but de, le lendemain, tout le temps, faire le point, le temps","Déterminant défini qui s’emploie devant un nom masculin singulier désignant des personnes ou des choses connues, dont on a déjà parlé.<br />Pronom remplaçant un nom de personne ou de chose déterminé, déjà exprimé et qui est masculin singulier.<br />","Ce voyage, tu pourras le faire .<br />"
"soleil","sun","sun, sunlight","soleil, lumière du soleil, soleil, lumière du soleil","ensoleillement, Soleil, ensoleillement, ensoleillement, lumière du soleil, Soleil, dimanche, Soleil, coup de soleil, le soleil brille, coucher de soleil, lunettes de soleil, rayon de soleil, il fait du soleil, coucher du soleil, sous le soleil, lever du soleil, du soleil","Astre autour duquel gravite la Terre.<br />Temps ensoleillé.<br />","La Terre tourne autour du Soleil .<br />Il fait soleil aujourd’hui, il fait du soleil, il y a du soleil .<br />"
"s'éteint","turns off","","","","",""
"sur","sure","on, to, about, over, at, upon, onto, with, across, along, against, after, before","sur, dans, par, au bord de, à, de, pour, vers, sur, en, sur, au sujet de, vers, à peu près, plus de, sur, pendant, au cours de, tout près, tout droit, à, de, sur, en, vers, à propos de, sur, à, sur, avec, à, de, sur, à travers, sur, de l'autre côté, le long de, sur, dans, avec, contre, sur, vis à vis, en opposition avec, en échange de, en vue de, après, derrière, malgré, sur, vers, ci-après, avant, devant, en présence de, sur, plutôt que de","sûr, sur place, sur le sol, sur la table, compter sur, sur le terrain, sur ce, taxe sur la valeur ajoutée, reposer sur, sur le dos, sur quoi","En haut, au sommet de.<br />À la surface.<br />Dans la direction de.<br />Au sujet de.<br />D’après.<br />Par rapport à (un nombre).<br />Qui a un goût acide.<br />","Sur le toit, sur la colline, sur la tête, sur un cheval .<br />Sur la terre .<br />Tourner sur la gauche .<br />Il fait des recherches sur la plasticité du cerveau .<br />On ne peut juger sur les apparences .<br />Sur dix personnes consultées, huit nous ont donné leur avis .<br />Une pomme sure .<br />"
"destins","fates","destiny, fate, fortune, portion, lot, doom, stroke","destin, destinée, sort, fatalité, sort, destin, destinée, mort, fin, catastrophe, fortune, chance, destin, partie, portion, part, dot, sort, destin, lot, sort, lot de terrain, fournée, destinée, destin, destin, perte, ruine, mort, jugement, coup, trait, nage, touche, caresse, destin","ensemble, destinée, ensemble, groupe, masse, bande, destinée, fortune, sort, chance, destinée, fortune, fatalité, sort, destination, hasard, destinée","Ensemble des hasards, des fatalités qui déterminent le cours des évènements.<br />L’avenir, le sort.<br />","Le destin est-il déjà tout écrit?<br />Que nous réserve notre destin?<br />"
"on court à l’échec, à perte au pire","we run to failure, loss to the worst","","","","",""
"court","short","short, little, brief, court","court, bref, petit, faible, de courte durée, à court terme, petit, peu de, faible, court, sans importance, pygmée, bref, court, concis, laconique, passager, tribunal, cour, court, terrain, séance","irascible, succinct, insuffisant, petit, myope, brusque, irascible, succinct, petit, bref, insuffisant, inadéquat, pauvre, petit, insuffisant, léger, myope, brusque, abrupt, arrêt-court, cour, court-circuit, arrêt-court, brève, résumé, cour, court-circuit, deçà, abruptement, deçà, abruptement, courir, court terme, à court terme, court-circuit, court de tennis, pantalon court, court-circuiter, qui court, à court, couper court","Qui a peu de longueur.<br />Qui a peu de durée.<br />Terrain de tennis.<br />Peu long.<br />","L’été est trop court .<br />Nous avons réservé le court pour 15 h .<br />"
"l'échec","failure","","","","",""
"perte","loss","loss, waste, wastage, leakage, forfeiture, forfeit, shedding, drain, doom, undoing, bereavement, miscarriage, perdition, disadvantage, ruination, loseness","perte, déperdition, tare, déchets, gaspillage, perte, ordures, eaux usées, gâchis, gaspillage, perte, déperdition, fuite, perte, confiscation, perte, amende, gage, perte, amende, peine, amande, jeu de société, perte, séparation, drain, drainage, égout, vidage, perte, épuisement, destin, perte, ruine, mort, jugement, ruine, perte, deuil, perte, privation, fausse couche, perte, échec, perdition, perte, ruine, damnation, inconvénient, désavantage, préjudice, perte, ruine, perte, perte","automne, gaspillage, mort, privation, rouge, automne, chute, disparition, tomber, abaissement, gaspillage, mort, disparition, privation, rouge, perte de temps, perte de connaissance, perte de mémoire, perte de vue, à perte de vue, vendre à perte, perte sèche, à perte, perte de valeur","Privation de quelqu’un, de quelque chose.<br />","La perte d’un ami .<br />"
"au","the","","","au revoir, au moins, au lieu de, au contraire, au plus tard, au début, au fait, au dessus, au-dessus, au milieu","Au . Forme contractée de la préposition à et de l’article masculin le.<br />Aux . Forme contractée de la préposition à et de l’article masculin et féminin les.<br />","Les pommiers fleurissent au printemps .<br />Étienne a écrit aux copains de l’été .<br />"
"pire","worse","worst, worse","pire, pis, pire, plus mauvais","le pire, la pire","(COMPARATIF) Plus mauvais, plus pénible.<br />(SUPERLATIF) Le plus mauvais.<br />Ce qu’il y a de plus mauvais.<br />","C’est le pire de tous .<br />Pour le meilleur et pour le pire .<br />"
"j’ai cru que tu m’aimerais pour un temps","I thought you would love me for a while","","","","",""
"j'ai","I have","","","j","",""
"cru","raw","raw, vintage, crude, blunt, uncooked, garish, rare, vineyard, recruit","brut, cru, pur, écru, âpre, novice, cru, de cru, ancien, classique, antique, brut, vulgaire, grossier, cru, simple, sec, émoussé, cru, mal taillé, qui ne coupe plus, non cuit, cru, criard, voyant, cru, tapageur, rare, exceptionnel, saignant, raréfié, cru, vignoble, cru, recrue, cru","naturel, nu, froid, nu comme un ver, grossier, naturel, nu, froid, nu comme un ver, complètement nu, à poil, tout nu, grossier, brut, de cru","Qui n’est pas cuit.<br />Froid et humide, en parlant du temps.<br />Brutal, direct.<br />Vignoble.<br />Le participe passé de croire s’accorde, selon l’usage général des verbes conjugués avec avoir, si le complément direct précède le verbe. Il est invariable si le complément direct suit le verbe ou s’il est accompagné des participes autorisé, fondé, forcé, obligé, tenu, etc., qui s’accordent avec le sujet.<br />","Des carottes crues .<br />« Un air cru l’accueillit au seuil de la cuisine .<br />Une réponse crue .<br />Un vin de grand cru .<br />Ces histoires que j’ai crues vraies .<br />"
