"il est trois heures moins quart","it is a quarter to three hours","","","","",""
"il","he","it, he","il, elle, le, ce, cela, la, il, lui, celui","il y a, il faut, il est, il pleut, il fait froid, il faut que, il était une fois, il fait chaud, il existe, il y a longtemps","Pronom personnel masculin de la troisième personne qui est toujours sujet du verbe.<br />Pronom personnel neutre de la troisième personne du singulier qui sert à introduire :.<br />","Il aime .<br />"
"est","is","is, east, eastern","est, est, orient, levant, est, oriental, de l'est","Levant, levant, Est, Orient, orient, état, Est, état, Est, être, estre, c'est, c'est bien, c'est dommage, il est, c'est pourquoi, c'est vrai, c'est moi, c'est-à-dire, c'est possible, c'est ça","Qui est à l’est.<br />Abréviation E . (s’écrit avec un point).<br />Un des quatre points cardinaux, orienté du côté du soleil levant.<br />","La côte est du Canada, le versant est d’une montagne .<br />Le soleil se lève à l’est .<br />"
"trois","three","three, three","trois, trois","tercet, triade, triolisme, tierce, tiers, troisième, trois fois, trois cents, en trois exemplaires, trois exemplaires, tous les trois mois, groupe de trois","Nombre trois.<br />Deux plus un.<br />Troisième.<br />","Il avait des trois de pique et de trèfle .<br />Vingt-trois, trois cent deux .<br />"
"heures","hours","time, hour","temps, moment, fois, heure, époque, saison, heure","temps, importation, minute, temps, durée, fois, importation, point, devoir, moment, conséquence, répercussion, temps, moment, minute, tout à l'heure, de bonne heure, dans une heure, heure de pointe, à l'heure, Quelle heure est-il?, toute à l'heure, heure de départ, une heure et quart, par heure","Symbole h (s’écrit sans point).<br />Unité de mesure du temps correspondant à la vingt-quatrième partie du jour.<br />","Il y a 60&nbsp;minutes ou 3600&nbsp;secondes dans une heure .<br />"
"moins","less","less, fewer, minus, wanting","moins, encore moins, moins, moins, quantité négative, sans, moins","plus, pratiquement, conformément, signe moins, au moins, moins cher, à moins que, plus ou moins, du moins, moins de, encore moins, de moins en moins, moins que, à moins de","Superlatif de l’adverbe peu. Le, la, les... que + subjonctif.<br />Comparatif de l’adverbe peu. Moins que + comparaison.<br />L’adverbe moins marque l’infériorité.<br />Signe de la soustraction.<br />La plus petite quantité.<br />La préposition sert à introduire un nombre négatif.<br />En soustrayant, en déduisant.<br />","Les jeunes s’inquiètent moins que leurs parents .<br />Le moins que nous puissions espérer .<br />C’est l’hiver, il fait moins vingt degrés Celsius (– 20 °C) ou vingt degrés au-dessous de zéro (et non *sous zéro ou *en bas de zéro) .<br />Sept moins trois égale quatre (7 – 3 = 4) .<br />"
"quart","quarter","quarter","trimestre, quart, quartier, côté, part, milieux","quartier, pièce, poupe, milieu, quatrième, quartier, pièce, poupe, queue, milieu, quartier, quartier, quatrième, quatrième, quatrième, quatrième, une heure et quart, quart de finale, une heure moins le quart, Il est une heure moins le quart.","Quatrième partie d’un tout.<br />Période de quatre ou de six heures au cours de laquelle une partie de l’équipage d’un bateau est au travail.<br />Période de travail d’une équipe de salariés dans une organisation.<br />","Elle a mangé les trois quarts de la tarte .<br />Un quart (et non *shift, *chiffre) de nuit .<br />"
"sur la main, il est tard","on the hand, it's late","","","","",""
"sur","sure","on, to, about, over, at, upon, onto, with, across, along, against, after, before","sur, dans, par, au bord de, à, de, pour, vers, sur, en, sur, au sujet de, vers, à peu près, plus de, sur, pendant, au cours de, tout près, tout droit, à, de, sur, en, vers, à propos de, sur, à, sur, avec, à, de, sur, à travers, sur, de l'autre côté, le long de, sur, dans, avec, contre, sur, vis à vis, en opposition avec, en échange de, en vue de, après, derrière, malgré, sur, vers, ci-après, avant, devant, en présence de, sur, plutôt que de","sûr, sur place, sur le sol, sur la table, compter sur, sur le terrain, sur ce, taxe sur la valeur ajoutée, reposer sur, sur le dos, sur quoi","En haut, au sommet de.<br />À la surface.<br />Dans la direction de.<br />Au sujet de.<br />D’après.<br />Par rapport à (un nombre).<br />Qui a un goût acide.<br />","Sur le toit, sur la colline, sur la tête, sur un cheval .<br />Sur la terre .<br />Tourner sur la gauche .<br />Il fait des recherches sur la plasticité du cerveau .<br />On ne peut juger sur les apparences .<br />Sur dix personnes consultées, huit nous ont donné leur avis .<br />Une pomme sure .<br />"
"la","There","the, la, lah, A, it, her","les, la, le, la, la, la, il, elle, le, ce, cela, la, elle, lui, la, celle, à elle, l'","Louisiane, dame, lanthane, statistique, Louisiane, dame, madame, lanthane, statistique, statistiques, là, la plupart, à la fois, toute la journée, à la place de, la semaine prochaine, faire la vaisselle, faire la fête, de la part de, par la suite, la foule","Sixième note de la gamme de do.<br />Déterminant défini qui s’emploie devant un nom féminin singulier désignant des personnes ou des choses connues, dont on a déjà parlé.<br />Pronom remplaçant un nom de personne ou de chose déterminé, déjà exprimé et qui est féminin singulier.<br />","Cette orange, tu la dégusteras cet après-midi .<br />"
