"francis, tu as tant de chose à dire","francis, you have so much to tell","","","","",""
"francis","francis","","","","",""
"tu","you","you, thou","vous, tu, on, te, toi, tu, toi","tu es, si tu veux, Comment vas-tu?, Qu'est-ce que tu fais?, Qu'est-ce que tu dis?, Qu'est-ce que tu as dit?","Pronom personnel masculin et féminin de la deuxième personne du singulier. Tu est toujours sujet du verbe.<br />","Tu chantes bien .<br />"
"as","ace","ace, wiz","ace, as, carte maîtresse, as, crack","ace, génie, sensation, expert, avoir, Qu'est-ce que tu as dit?, plein aux as","Un point seul marqué sur un des côtés d’un dé.<br />Carte à jouer.<br />Personne qui tient le premier rang dans sa spécialité.<br />","L’as de cœur .<br />C’est un as du tennis .<br />"
"tant","so","so such","tant","durement, cruellement, mal, aussi, puisque, même, également, quand, que, comme, tant pis, tant que, en tant que, tant mieux, tant de, en tant que tel, tant bien que mal, tant de fois, tant que ça, en tant que personne","Tellement, en si grande quantité.<br />Tant de + nom au pluriel. Une telle quantité de.<br />","Alain a tant de livres qu’il a acheté un appartement pour les y ranger .<br />Tant de pommes sont tombées au cours de l’orage que nous n’avons pu toutes les ramasser .<br />"
"de","from","of, to, from, by, with, than, at, out of, off","de, en, pour, à, de, pour, vers, sur, en, de, à partir de, depuis, dès, de la part de, d'après, par, de, selon, à, près de, suivant, avec, à, de, sur, que, de, à, de, sur, en, vers, à propos de, de, hors de, par, en dehors de, de","dé, de rien, de plus, tout de suite, à partir de, au lieu de, pomme de terre, en fonction de, maillot de bain, à cause de, de plus en plus","• La préposition introduit un complément du nom en marquant :.<br />La possession.<br />L’origine.<br />Le temps.<br />La cause.<br />Le moyen.<br />La matière.<br />Le genre.<br />• La préposition introduit un complément du verbe en marquant :.<br />Le lieu.<br />Le temps.<br />La cause.<br />Le moyen, l’instrument.<br />Élision de la préposition.<br />De + adjectif.<br />L’article de s’emploie devant des noms de choses qui ne peuvent se compter, devant un nom abstrait.<br />","La fille de (et non *à) mon amie .<br />Du sirop d’érable, du fromage de chèvre .<br />Le train de nuit .<br />Un vent d’orage, des frissons d’inquiétude .<br />Un air de piano, un coup de baguette magique .<br />Une colonne de bois, un toit de chaume .<br />Un roman d’aventures, un film de science-fiction .<br />Venir de Trois-Rivières .<br />Ils vont à l’école de 8&nbsp;h&nbsp;30 à 15&nbsp;h&nbsp;30 .<br />Les enfants sautent de joie : c’est la récréation!<br />Se servir d’un pinceau, d’une règle .<br />Il est tombé de la neige .<br />"
"chose","thing","thing, object, stuff","chose, truc, affaire, sujet, mode, objet, but, objectif, chose, motif, complément, substance, truc, affaires, étoffe, chose, essence","objet, machin, point, détail, travail, question, cobaye, intérêt, cause, objet, cause, objet, machin, truc, point, question, tête, détail, particulier, travail, tâche, emploi, fonction, service, objet, élément, question, affaire, cobaye, cas, cause, sujet, intérêt, objet, contenu, sujet, matière, cause, matière, quelque chose, autre chose, la même chose, avant toute chose, bonne chose, grande chose, Autre chose?, quelque chose de, première chose, chose importante","Objet inanimé.<br />Toute réalité concrète ou abstraite.<br />Bizarre.<br />","Son bureau est encombré de mille choses .<br />C’est toujours la même chose .<br />"
"à","to","to, in, at, with, by, upon","à, de, pour, vers, sur, en, dans, en, à, chez, dedans, au bout de, à, de, sur, en, vers, à propos de, avec, à, de, sur, par, de, selon, à, près de, suivant, sur, à","jusqu'à, à partir de, grâce à, à travers, à part, à cause de, à côté, à propos, par rapport à, à peu près","La préposition introduit un complément indirect.<br />La préposition marque :.<br />La préposition marque le prix.<br />","Alain participera à la fête .<br />Un blouson à 100 $ .<br />"
"dire","say","say, tell, speak, talk, state, express, mention, put, admit, bid","dire, parler, indiquer, prononcer, déclarer, prétendre, dire, raconter, informer, parler, révéler, narrer, parler, dire, prendre la parole, répondre, demander, parler, discuter, dire, bavarder, discourir, rapporter, dire, déclarer, exposer, spécifier, formuler, nommer, exprimer, dire, formuler, manifester, énoncer, extraire, mentionner, citer, dire, signaler, faire mention, mettre, placer, poser, présenter, dire, soumettre, admettre, avouer, reconnaître, dire, convenir, laisser entrer, demander, faire une offre, dire, inviter, ordonner, enjoindre","passer, supposer, communiquer, divulguer, déclarer, articuler, garantir, contenter, vouloir dire, appartenir à, enjoindre, soutenir, négliger, narrer, prouver, lire, proclamer, passer, partir, faire, départir, disparaître, aller, devenir, supposer, communiquer, divulguer, révéler, exposer, passer, faire, aller, déclarer, affirmer, alléguer, accuser, articuler, prononcer, passer, partir, faire, aller, devenir, garantir, assurer, déclarer, affirmer, contenter, indiquer, remarquer, commenter, apercevoir, montrer, passer, fonctionner, partir, faire, courir, aller, devenir, marcher, vouloir dire, entraîner, supposer, entendre, signifier, appartenir à, passer, faire, appartenir, aller, devenir, enjoindre, soutenir, cohabiter, passer, vivre, partir, faire, survivre, tenir le coup, traverser, hier, accommoder, résider, continuer, demeurer, aller, devenir, durer, négliger, passer, sortir avec, distribuer, partir, faire, mourir, tomber en panne, faillir, aller, devenir, abandonner, narrer, rapporter, conter, raconter, passer, partir, faire, procéder, aller, devenir, prouver, démontrer, témoigner, montrer, lire, être debout, évoquer, prononcer, relire, admettre, penser, proclamer, afficher, déclarer, affirmer, décréter, prononcer, annoncer, parole, bouche, moyen, demande, accent, répétition, parole, terme, mot, bouche, muet, moyen, moyenne, demande, revendication, accent, répétition, c'est-à-dire, vouloir dire, à vrai dire, pour ainsi dire, sans rien dire, dire bonjour, dire au revoir, se dire, cela va sans dire, dire merci","Exprimer par la parole.<br />Inviter à, demander.<br />Penser.<br />Prétendre.<br />Se déclarer.<br />Être employé, en parlant d’un mot, d’une expression.<br />Ce qu’une personne avance, déclare, rapporte.<br />","Je vous dis merci .<br />Elle me dit de venir .<br />Ils se sont dits heureux de ce dénouement .<br />Le mot aborigène se dit de la personne dont les ancêtres ont toujours habité le pays où elle vit .<br />Les dires des experts sont parfois contradictoires .<br />"
"mais le tout reste enfermer","but everything remains shut","","","","",""
