"le temps d'un souffle coupé","time for a breath","","","","",""
"le","the","the, it, him","les, la, le, il, elle, le, ce, cela, la, lui, le, celui, l'","tout le monde, le matin, pour le moment, le monde, le mien, dans le but de, le lendemain, tout le temps, faire le point, le temps","Déterminant défini qui s’emploie devant un nom masculin singulier désignant des personnes ou des choses connues, dont on a déjà parlé.<br />Pronom remplaçant un nom de personne ou de chose déterminé, déjà exprimé et qui est masculin singulier.<br />","Ce voyage, tu pourras le faire .<br />"
"temps","time","time, times, weather, days, beat, era, season, tense, eon","temps, moment, fois, heure, époque, saison, fois, temps, temps, tempête, brise, journées, temps, époque, battement, rythme, temps, pulsation, ronde, roulement, ère, époque, temps, histoire, qui fait une époque, saison, temps, époque, moment opportun, temps, période, temps","durée, jour, période, intempérie, moment, durée, phrase, jugement, longtemps, peine, délai, fois, durée, moment, part, durée, heure, fois, jour, aujourd'hui, période, point, intempérie, moment, heure, période, durée, période, point, époque, délai, durée, mètre, durée, période, point, époque, moment, de temps en temps, en même temps, emploi du temps, tout le temps, le temps, pendant ce temps, temps libre, gagner du temps, perte de temps, le temps passe vite","La durée.<br />Espace de temps.<br />Époque.<br />Période.<br />État de l’atmosphère, conditions météorologiques.<br />Série de formes verbales qui indique à quel moment s’accomplit l’action.<br />","Le temps passe vite .<br />J’ai trop peu de temps à consacrer à la lecture .<br />Les temps modernes .<br />Le temps des récoltes .<br />Il fait beau temps (et non une *belle température) .<br />Le passé composé, le présent, le futur sont des temps du verbe qui marquent respectivement l’antériorité, la simultanéité et la postériorité .<br />"
"d'un","a","one's","d'un","un","",""
"souffle","breath","breath, blast, breathing, blow, souffle, wind, spirit, puff, whiff, chug, flaw, windiness","souffle, haleine, respiration, brise, explosion, souffle, rafale, fête, sonnerie, tempête, respiration, souffle, aspiration, haleine, coup, souffle, coup de vent, bourrasque, coup de poing, malheur, souffle, vent, vents, souffle, gaz, tendance, blague, esprit, alcool, génie, essence, courage, souffle, bouffée, souffle, houppette, houppe, bouillon, teuf-teuf, bouffée, souffle, grésillement, souffle, défaut, imperfection, faute, inconvénient, souffle, casse, souffle","haleine, choc, haleine, haleine, respiration, haleine, bouffée, choc, coup, rafale, coup de vent, souffler, couper le souffle, à bout de souffle, dernier souffle, reprendre son souffle, retenir son souffle, jusqu'à mon dernier souffle, à vous couper le souffle, souffle de vent, souffle d'air","Air rejeté par la respiration.<br />Courant d’air.<br />","Peux-tu retenir ton souffle et plonger sous l’eau?<br />On étouffe, il n’y a pas un souffle d’air .<br />"
"coupé","clipped","disconnected, clipped, hewn, snipped, tufted","coupé, interrompu, détaché, sans rapport, coupé, coupé, coupé, huppé, en touffe, coupé","coupe, non coupé","Voiture à deux portes, d’allure sportive, sans montant latéral.<br />",""
"par un soir tardif d'été","Late on a summer evening","","","","",""
"par","by","by, per, through, via, to, on, out of, par","par, de, selon, à, près de, suivant, par, suivant, comme, par, à travers, via, au travers, par l'entremise, via, par, à, de, pour, vers, sur, par, sur, dans, par, au bord de, de, hors de, par, en dehors de, par, pair, égalité, normale","une, un, an, par contre, par ailleurs, par conséquent, par exemple, par hasard, par rapport à, par terre, par la suite, par jour, une fois par semaine","La préposition marque une relation :.<br />De lieu . À travers.<br />De temps . Au cours de.<br />De distribution . Pour chaque.<br />De subdivision.<br />De cause.<br />D’ agent.<br />D’ instrument, de moyen.<br />De manière.<br />","Passer par Trois-Rivières pour aller à Québec .<br />Par une belle nuit étoilée .<br />Il gagne 1000&nbsp;$ par semaine .<br />Répartir ces animaux par classes et sous-classes .<br />Engourdi par le froid .<br />Ce roman a été écrit par une jeune femme .<br />Voyager par avion .<br />Classer des données par ordre alphabétique .<br />"
"un","a","a, an, one, one, one, one","un, une, un, une, un, une, unique, un, une, homme, un, un","inégalable, une, par, an, seul, un peu, quelqu'un, un jour, un petit peu, un moment, un autre, un moyen, faire un effort, d'un, faire un voyage","Simple, unique.<br />Nombre qui exprime l’unité.<br />Première page d’un quotidien.<br />Une unité.<br />Premier.<br />Le déterminant indéfini se rapporte à une personne, à une chose indéterminée ou non encore dénommée.<br />Quelqu’un, une certaine personne.<br />","Dans ce jardin poussent un saule et deux pommiers .<br />"
"soir","evening","evening, eve, dusk","soir, soirée, couche, couchée, temps de couchée, veille, soir, crépuscule, soir, nuit tombante","soirée, soirée, soirée, après-midi, soirée, nuit, ce soir, hier soir, cours du soir, un soir, chaque soir, repas du soir, du matin au soir, du soir","Fin du jour.<br />","Un beau soir d’été .<br />"
