"et en 2003, dans un show en été","and in 2003 in a show in summer","","","","",""
"et","and","and","et, aussi","et alors, aller et retour, et moi aussi, et puis, sain et sauf, nom et prénom, et caetera, et cetera, jour et nuit, vingt et un","La conjonction de coordination ou coordonnant unit des propositions indépendantes affirmatives.<br />La conjonction de coordination ou coordonnant unit une proposition affirmative et une proposition négative.<br />La conjonction de coordination ou coordonnant unit des unités aux dizaines.<br />","Le vent se lève et la pluie se met à tomber .<br />Il aime la bonne cuisine et ne fume pas .<br />Vingt et une personnes .<br />"
"en","in","in, into, to, at, of, during, thereof","dans, en, à, chez, dedans, au bout de, dans, en, dedans, de très près, à, de, pour, vers, sur, en, à, de, sur, en, vers, à propos de, de, en, pour, pendant, durant, en, au cours de, dans, lorsque, en, de cela","après, postérieurement, ensuite, par la suite, prochainement, puis, derrière, ultérieurement, subséquemment, en effet, en cours, en plus, en revanche, en haut, mettre en place, en bas, en attendant, en fait, en fonction de","Préposition qui marque un rapport de lieu, de temps, une notion de forme, de matière, de manière.<br />Pronom qui peut remplacer de suivi d’un groupe nominal, d’un complément de verbe ou d’un complément de nom.<br />","Une table en chêne .<br />De ce grand voyage autour du monde, ils en rêvent .<br />"
"2003","2003","","","","",""
"dans","in","in, into, within, on, inside, during, along, aboard","dans, en, à, chez, dedans, au bout de, dans, en, dedans, de très près, dans, à moins de, sous, dans les limites, selon, à l'intérieur de, sur, dans, par, au bord de, dans, à l'intérieur de, pendant, durant, en, au cours de, dans, lorsque, le long de, sur, dans, avec, à bord, dans","dan, dans le but de, dans ce cas, dans le monde entier, dans la mesure où, dans tous les cas, dans l'attente, partout dans le monde, dans le cas contraire, dans la nature, dans une heure","Cette préposition marque :.<br />Un lieu.<br />Le temps.<br />Une situation.<br />Une tendance, une intention.<br />","Mettre ses clés dans sa poche .<br />Nous comptons terminer dans un an .<br />Dans le doute, il vaut mieux s’abstenir .<br />Dans l’intérêt de notre groupe .<br />"
"un","a","a, an, one, one, one, one","un, une, un, une, un, une, unique, un, une, homme, un, un","inégalable, une, par, an, seul, un peu, quelqu'un, un jour, un petit peu, un moment, un autre, un moyen, faire un effort, d'un, faire un voyage","Simple, unique.<br />Nombre qui exprime l’unité.<br />Première page d’un quotidien.<br />Une unité.<br />Premier.<br />Le déterminant indéfini se rapporte à une personne, à une chose indéterminée ou non encore dénommée.<br />Quelqu’un, une certaine personne.<br />","Dans ce jardin poussent un saule et deux pommiers .<br />"
"show","show","show","spectacle, show, salon, exposition, manifestation, représentation","","Anglicisme pour spectacle, foire commerciale.<br />",""
"été","summer","summer, summertime","été, été","d'été, passer l'été, été indien, solstice d'été","Saison qui suit le printemps et précède l’automne, et qui, dans notre hémisphère, est la plus chaude de l’année (du 21&nbsp;juin au 22&nbsp;septembre).<br />","Prendre des vacances en été ou à l’été .<br />"
"sous mes couches de mascaras je t'avais remarqué","under my layers of mascara I had you noticed","","","","",""
"sous","under","under, within, below, beneath, underneath, underneath, cash","sous, selon, conformément à, dans, à moins de, sous, dans les limites, selon, à l'intérieur de, sous, au-dessous de, sous, indigne de, sous, au-dessous de, sous, dessous, en dessous, en bas, au-dessous de, espèces, argent, fric, sous","sous-, sou, sous-sol, sous-marin, sous-traitant, sous-traitance, sous-jacent, sous la pluie, sous-entendu, sous-vêtement, sous le vent, sous-titre","La préposition marque une position inférieure dans l’espace.<br />La préposition marque la dépendance.<br />À l’époque de.<br />Moyennant, par le moyen de.<br />","Il s’est abrité sous l’auvent .<br />Ce projet est sous la responsabilité de l’enseignant .<br />L’ordonnance de Villers-Cotterêts fut proclamée. sous le règne de François l er .<br />Sous la menace d’une retenue, les élèves turbulents se sont calmés .<br />"
"mes","my","my","mes, mon, ma","à mes côtés","Déterminant possessif pluriel de la première personne du singulier qui détermine le nom en indiquant le « possesseur » de l’objet désigné. Il s’accorde en genre et en nombre avec le nom déterminé.<br />Le déterminant possessif s’accorde en personne avec le nom désignant le « possesseur ». Ainsi, le déterminant possessif mes renvoie à un seul « possesseur » de plusieurs êtres, de plusieurs objets.<br />","Mes livres .<br />Regarde mes patins à roulettes (un seul possesseur) et notre nouvelle tondeuse (plusieurs possesseurs) .<br />"
"couches","diapers","strata, birth, childbed, lying-in","couches, strate, couche, naissance, accouchement, apparition, éclosion, couches, mise bas, couches, couches, accouchement","coucher, couche","",""
