"au-dessus des vieux volcans","above the old volcanoes","","","","",""
"au","the","","","au revoir, au moins, au lieu de, au contraire, au plus tard, au début, au fait, au dessus, au-dessus, au milieu","Au . Forme contractée de la préposition à et de l’article masculin le.<br />Aux . Forme contractée de la préposition à et de l’article masculin et féminin les.<br />","Les pommiers fleurissent au printemps .<br />Étienne a écrit aux copains de l’été .<br />"
"dessus","above","over, on top","dessus, partout, encore, en haut, dessus, en dessus","au dessus, au-dessus, en dessus, par-dessus, au dessus de, au-dessus de, prendre le dessus, là-dessus, dessus de lit, par-dessus tout","L’endroit, le côté supérieur.<br />À un niveau supérieur.<br />","Le dessus de la commode est en marbre .<br />"
"des","of","","","dès, dés","Déterminant défini contracté pluriel ( de les ).<br />Déterminant indéfini pluriel de un, une.<br />Déterminant partitif pluriel exprimant une partie d’une chose au pluriel.<br />","Le chant des oiseaux .<br />Des pommes .<br />Manger des marinades .<br />"
"vieux","old","old, ancient, aged, aging, outdated, out-of-date, olden, obsolete, long in the tooth, wintry, cogged, doddery, winterly, grey-haired, old man, gaffer, dodderer, colonist","vieux, ancien, vieil, âgé, vétéran, ancien, antique, vieux, âgé, vieilli, vieux, vieillissant, vieux, dépassé, désuet, démodé, vieux, suranné, abandonné, démodé, vieux, dépassé, périmé, vieux, obsolète, dépassé, caduc, périmé, démodé, vieux, vieux, hivernal, glacial, torrentueux, vieux, morne, d'hiver, vieux, vieux, hivernal, torrentueux, glacial, vieux, morne, d'hiver, gris, vieux, vieillard, vieil homme, vieux, bonhomme, chef, patron, vieux, chef-électricien, vieux, croulant, colon, vieux","caduc, négligé, ancien, majeur, décrépit, expérimenté, caduc, délabré, infirme, négligé, ancien, ancien, antérieur, précédent, préalable, ancien, rassis, ancien, vieil, âgé, caduc, branlant, vacillant, chancelant, boiteux, chambranlant, bancal, délabré, majeur, caduc, décrépit, expérimenté, ancien, géniteur, ancien, géniteur, ancien, vieille, ancien, papa, pépé, sonorisation, ancien, destrier, mon vieux, vieux jeu, plus vieux, se faire vieux, très vieux, assez vieux, devenir vieux, vieux quartiers, vieux protecteur","Qui est avancé en âge.<br />Ancien.<br />Âgé.<br />Se dit d’un mot, d’une expression peu compréhensible aujourd’hui et rarement employé, sauf par effet de style. À titre d’exemples sont considérés comme vieux les noms aboi au sens de « cri du chien », aérolite au sens de « météorite », chaland au sens de « client, acheteur », les verbes bayer au sens de « être grand ouvert », bouter au sens de « chasser d’un lieu ».<br />","Ce monsieur est très vieux .<br />Une vieille maison .<br />Étienne est plus vieux que Marie-Ève .<br />"
"volcans","volcanoes","volcano","volcan","","Cratère situé sur une montagne, d’où s’échappent de la cendre, de la lave en fusion, etc.<br />",""
"glisse tes ailes sous le tapis du vent","glide your wings under the rug wind","","","","",""
"glisse","slips","","","patinage, glissé, glisser","Capacité d’un matériel, d’un skieur à glisser sur la neige, la glace.<br />",""
"tes","your","your, your, thy","votre, vos, tes, ton, ta, votre, vos, tes, ton, ta, à vous, tes, ton, ta","","Déterminant possessif pluriel de la deuxième personne du singulier qui détermine le nom en indiquant le « possesseur » de l’objet désigné. Il s’accorde en genre et en nombre avec le nom déterminé.<br />Le déterminant possessif s’accorde en personne avec le nom désignant le « possesseur ». Ainsi, le déterminant possessif tes renvoie à un seul « possesseur » de plusieurs êtres, de plusieurs objets.<br />","Tes jouets .<br />Fanny, joue avec tes animaux! (un seul possesseur) .<br />"
"ailes","wings","wing, fender, blade, vane","aile, ailier, pavillon, aile, protection, clôture, barrière, garde-boue, garde-feu, lame, pale, aube, fer, aile, plat, girouette, pale, aile","feuille, annexion, piano à queue, accompagnement, feuille, annexion, annexe, piano à queue, accompagnement, flanc, ailé","Partie du corps de certains animaux qui sert à voler.<br />Partie de l’avion qui lui permet de voler.<br />Partie latérale.<br />","Les ailes de l’hirondelle .<br />Les ailes d’un planeur .<br />L’aile droite de cet hôpital a été rénovée .<br />"
